Original ID,New ID,Age,Gender,Race,Negative ID 0,Negative New ID 0
129,0,20-29,Female,Asian,16,1
16,1,20-29,Female,Asian,129,0
10,2,20-29,Female,White,242,3
242,3,20-29,Female,White,10,2
147,4,20-29,Male,Asian,155,5
155,5,20-29,Male,Asian,147,4
101,6,20-29,Male,White,166,7
166,7,20-29,Male,White,101,6
92,8,30-39,Female,Asian,148,9
148,9,30-39,Female,Asian,92,8
76,10,30-39,Female,White,10,2
158,11,30-39,Female,White,79,16
4,12,30-39,Male,Asian,7,13
7,13,30-39,Male,Asian,4,12
5,14,30-39,Male,White,90,15
90,15,30-39,Male,White,5,14
79,16,40+,Female,White,51,17
51,17,40+,Female,White,79,16
84,18,40+,Male,Asian,91,19
91,19,40+,Male,Asian,84,18
57,20,40+,Male,White,101,6
70,21,40+,Male,White,166,7
Training,,,,,,
205,32,20-29,Male,White,11,9
189,33,30-39,Female,White,74,15
118,34,40+,Female,White,79,24
Distractor,,,,,,
19,30-39,Male,White,,,
103,20-29,Female,White,,,
109,20-29,Female,White,,,
149,20-29,Male,Asian,,,
208,20-29,Female,Asian,,,
